Date,Hours_Watched,HW gain %,Avg_Viewers,Avg. View. Gain %,Peak_Viewers,Airtime,Followers_Gained,Live Views,Authorized Viewers,Auth. / All Viewers Ratio,Unique Viewers
"01 January, 2020",114 628,350.40%,28 073,47.09%,39 302,4h 5m,1 756,0,0,0%,0
"02 January, 2020",308 969,169.54%,23 616,-15.88%,31 604,13h 5m,6 628,0,0,0%,0
"03 January, 2020",198 568,-35.73%,24 069,1.92%,31 162,8h 15m,3 267,0,0,0%,0
"04 January, 2020",255 389,28.62%,23 758,-1.29%,33 152,10h 45m,5 385,0,0,0%,0
"05 January, 2020",248 175,-2.82%,26 590,11.92%,38 437,9h 20m,4 365,0,0,0%,0
"06 January, 2020",241 034,-2.88%,22 775,-14.35%,36 319,10h 35m,6 641,0,0,0%,0
"07 January, 2020",226 876,-5.87%,20 317,-10.79%,29 610,11h 10m,2 854,0,0,0%,0
"08 January, 2020",216 076,-4.76%,20 257,-0.30%,25 409,10h 40m,3 369,0,0,0%,0
"09 January, 2020",220 817,2.19%,19 064,-5.89%,26 629,11h 35m,2 855,0,0,0%,0
"10 January, 2020",184 119,-16.62%,18 567,-2.61%,22 897,9h 55m,899,0,0,0%,0
"11 January, 2020",169 300,-8.05%,18 303,-1.42%,24 684,9h 15m,2 583,0,0,0%,0
"12 January, 2020",181 176,7.01%,18 583,1.53%,33 011,9h 45m,2 115,0,0,0%,0
"13 January, 2020",366 656,102.38%,29 530,58.91%,44 323,12h 25m,3 105,0,0,0%,0
"14 January, 2020",202 035,-44.90%,17 442,-40.93%,22 845,11h 35m,1 855,0,0,0%,0
"15 January, 2020",64 780,-67.94%,17 275,-0.96%,24 453,3h 45m,727,0,0,0%,0
"16 January, 2020",76 104,17.48%,19 853,14.93%,23 930,3h 50m,679,0,0,0%,0
"17 January, 2020",276 102,262.80%,20 580,3.66%,25 797,13h 25m,2 780,0,0,0%,0
"18 January, 2020",227 939,-17.44%,22 059,7.19%,26 213,10h 20m,2 648,0,0,0%,0
"19 January, 2020",202 330,-11.24%,26 107,18.35%,33 647,7h 45m,2 657,0,0,0%,0
"20 January, 2020",267 023,31.97%,18 103,-30.66%,26 705,14h 45m,3 867,0,0,0%,0
