Date,"Hours_Watched","HW gain %","Avg_Viewers","Avg. View. Gain %","Peak_Viewers",Airtime,"Followers_Gained","Live Views","Authorized Viewers","Auth. / All Viewers Ratio","Unique Viewers"
"01 January, 2021","891 052",-31.41%,"99 006",-0.92%,"128 195","9h ","13 333","25 672",0,81%,0
"02 January, 2021","1 316 523",47.75%,"98 740",-0.27%,"123 238","13h 20m","23 369","21 083",0,81%,0
"03 January, 2021","1 033 400",-21.51%,"105 990",7.34%,"135 193","9h 45m","-43 759","25 111",0,79%,0
"04 January, 2021","1 486 169",43.81%,"104 906",-1.02%,"160 537","14h 10m","21 314","18 955",0,79%,0
"05 January, 2021","681 183",-54.17%,"91 845",-12.45%,"148 975","7h 25m","-54 040","10 944",0,81%,0
"06 January, 2021","715 837",5.09%,"63 630",-30.72%,"75 593","11h 15m","10 117","14 475",0,89%,0
"07 January, 2021","769 765",7.53%,"69 452",9.15%,"109 124","11h 5m","23 261","32 604",0,85%,0
"08 January, 2021","1 843 342",139.47%,"134 062",93.03%,"163 366","13h 45m","44 702",0,0,86%,0
"09 January, 2021","2 923 355",58.59%,"123 522",-7.86%,"144 481","23h 40m","53 288","36 841",0,90%,0
"10 January, 2021","480 192",-83.57%,"88 651",-28.23%,"119 606","5h 25m","15 055","18 291",0,90%,0
"11 January, 2021","952 500",98.36%,"91 440",3.15%,"116 631","10h 25m","32 098","18 734",0,85%,0
"12 January, 2021","993 547",4.31%,"82 225",-10.08%,"109 974","12h 5m","15 526","18 732",0,87%,0
"13 January, 2021","555 660",-44.07%,"70 189",-14.64%,"103 293","7h 55m","9 857","17 739",0,86%,0
"14 January, 2021","809 655",45.71%,"78 354",11.63%,"100 458","10h 20m","12 380","20 265",0,88%,0
"15 January, 2021","579 774",-28.39%,"60 498",-22.79%,"82 849","9h 35m","5 917","9 538",0,90%,0
"16 January, 2021","464 292",-19.92%,"52 562",-13.12%,"64 920","8h 50m","4 389","10 504",0,86%,0
"17 January, 2021","649 218",39.83%,"50 919",-3.13%,"67 674","12h 45m","5 656","12 602",0,92%,0
"18 January, 2021","439 364",-32.32%,"53 800",5.66%,"79 247","8h 10m","4 406","8 953",0,92%,0
"19 January, 2021","585 445",33.25%,"53 222",-1.07%,"65 410","11h ","4 604","10 042",0,92%,0
"20 January, 2021","759 441",29.72%,"56 958",7.02%,"72 362","13h 20m","6 402","14 415",0,89%,0
